,state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,region
361,MS,14000.0,98,1372000.0,453000.0,0.93,1276000.0,2006,Midwest
362,MO,15000.0,46,690000.0,117000.0,0.98,676000.0,2006,Midwest
363,MT,132000.0,79,10428000.0,1981000.0,0.95,9907000.0,2006,West
364,NE,47000.0,73,3431000.0,3843000.0,0.93,3191000.0,2006,Midwest
365,NV,9000.0,37,333000.0,50000.0,3.62,1205000.0,2006,West
366,NJ,9000.0,36,324000.0,152000.0,1.14,369000.0,2006,North
367,NM,7000.0,48,336000.0,104000.0,1.19,400000.0,2006,South
368,NY,58000.0,64,3712000.0,2376000.0,1.3,4826000.0,2006,North
369,NC,10000.0,50,500000.0,215000.0,1.57,785000.0,2006,South
370,ND,350000.0,74,25900000.0,7770000.0,0.91,23569000.0,2006,Midwest
371,OH,14000.0,56,784000.0,282000.0,1.4,1098000.0,2006,Midwest
372,OR,46000.0,48,2208000.0,729000.0,1.05,2318000.0,2006,North
373,PA,28000.0,40,1120000.0,605000.0,1.63,1826000.0,2006,North
374,SD,225000.0,47,10575000.0,10575000.0,0.94,9941000.0,2006,Midwest
375,TN,7000.0,55,385000.0,58000.0,1.84,708000.0,2006,South
376,TX,82000.0,70,5740000.0,976000.0,0.89,5109000.0,2006,South
377,UT,26000.0,50,1300000.0,299000.0,0.98,1274000.0,2006,West
378,VT,6000.0,56,336000.0,144000.0,1.2,403000.0,2006,North
379,VA,8000.0,42,336000.0,114000.0,2.2,739000.0,2006,South
380,WA,49000.0,52,2548000.0,1605000.0,1.24,3160000.0,2006,West
381,WV,6000.0,42,252000.0,68000.0,2.02,509000.0,2006,South
382,WI,64000.0,93,5952000.0,2500000.0,1.12,6666000.0,2006,Midwest
383,WY,39000.0,85,3315000.0,497000.0,0.98,3249000.0,2006,West
384,AL,11000.0,56,616000.0,209000.0,1.49,918000.0,2007,South
385,AZ,30000.0,64,1920000.0,902000.0,1.26,2419000.0,2007,West
386,AR,28000.0,80,2240000.0,672000.0,0.95,2128000.0,2007,South
387,CA,340000.0,40,13600000.0,3672000.0,1.04,14144000.0,2007,West
388,CO,31000.0,51,1581000.0,838000.0,1.15,1818000.0,2007,West
389,FL,160000.0,71,11360000.0,1363000.0,0.99,11246000.0,2007,South
390,GA,60000.0,58,3480000.0,522000.0,1.19,4141000.0,2007,South
391,HI,10000.0,92,920000.0,285000.0,1.7,1564000.0,2007,West
392,ID,92000.0,41,3772000.0,1848000.0,1.15,4338000.0,2007,West
393,IL,9000.0,63,567000.0,374000.0,2.49,1412000.0,2007,Midwest
394,IN,8000.0,53,424000.0,119000.0,1.5,636000.0,2007,Midwest
395,IA,26000.0,81,2106000.0,1221000.0,1.31,2759000.0,2007,Midwest
396,KS,14000.0,40,560000.0,196000.0,1.18,661000.0,2007,Midwest
397,KY,4000.0,61,244000.0,54000.0,2.12,517000.0,2007,South
398,LA,29000.0,89,2581000.0,413000.0,1.08,2787000.0,2007,South
399,ME,9000.0,26,234000.0,59000.0,1.32,309000.0,2007,North
400,MI,72000.0,64,4608000.0,2350000.0,1.19,5484000.0,2007,Midwest
401,MN,130000.0,68,8840000.0,2564000.0,1.04,9194000.0,2007,Midwest
402,MS,15000.0,92,1380000.0,166000.0,0.91,1256000.0,2007,Midwest
403,MO,14000.0,46,644000.0,148000.0,1.12,721000.0,2007,Midwest
404,MT,135000.0,68,9180000.0,2479000.0,0.99,9088000.0,2007,West
405,NE,45000.0,49,2205000.0,1477000.0,1.03,2271000.0,2007,Midwest
406,NV,10000.0,28,280000.0,67000.0,2.99,837000.0,2007,West
407,NJ,9000.0,57,513000.0,185000.0,1.96,1005000.0,2007,North
408,NM,6000.0,59,354000.0,138000.0,1.42,503000.0,2007,South
409,NY,53000.0,57,3021000.0,1843000.0,1.38,4169000.0,2007,North
410,NC,12000.0,45,540000.0,76000.0,2.49,1345000.0,2007,South
411,ND,420000.0,74,31080000.0,9013000.0,0.96,29837000.0,2007,Midwest
412,OH,14000.0,61,854000.0,376000.0,1.77,1512000.0,2007,Midwest
413,OR,46000.0,43,1978000.0,1088000.0,1.31,2591000.0,2007,North
414,PA,25000.0,42,1050000.0,326000.0,1.7,1785000.0,2007,North
415,SD,255000.0,52,13260000.0,10608000.0,1.02,13525000.0,2007,Midwest
416,TN,7000.0,65,455000.0,114000.0,1.99,905000.0,2007,South
417,TX,105000.0,82,8610000.0,1550000.0,0.96,8266000.0,2007,South
418,UT,28000.0,42,1176000.0,270000.0,1.13,1329000.0,2007,West
419,VT,5000.0,64,320000.0,96000.0,1.7,544000.0,2007,North
420,VA,6000.0,46,276000.0,63000.0,2.43,671000.0,2007,South
421,WA,46000.0,44,2024000.0,648000.0,1.25,2530000.0,2007,West
422,WV,6000.0,48,288000.0,95000.0,2.09,602000.0,2007,South
423,WI,60000.0,84,5040000.0,3024000.0,1.22,6149000.0,2007,Midwest
424,WY,43000.0,80,3440000.0,894000.0,1.0,3440000.0,2007,West
425,AL,9000.0,66,594000.0,214000.0,1.9,1129000.0,2008,South
426,AZ,25000.0,64,1600000.0,336000.0,1.26,2016000.0,2008,West
427,AR,28000.0,75,2100000.0,525000.0,1.35,2835000.0,2008,South
428,CA,360000.0,51,18360000.0,4039000.0,1.39,25520000.0,2008,West
429,CO,27000.0,45,1215000.0,656000.0,1.51,1835000.0,2008,West
430,FL,150000.0,79,11850000.0,1304000.0,1.32,15642000.0,2008,South
431,GA,65000.0,71,4615000.0,369000.0,1.52,7015000.0,2008,South
432,HI,10000.0,90,900000.0,225000.0,1.59,1431000.0,2008,West
433,ID,90000.0,40,3600000.0,1440000.0,1.46,5256000.0,2008,West
434,IL,8000.0,56,448000.0,116000.0,2.59,1160000.0,2008,Midwest
435,IN,7000.0,67,469000.0,150000.0,1.68,788000.0,2008,Midwest
436,IA,24000.0,62,1488000.0,580000.0,1.58,2351000.0,2008,Midwest
437,KS,10000.0,61,610000.0,128000.0,1.55,946000.0,2008,Midwest
438,KY,4000.0,39,156000.0,27000.0,2.44,381000.0,2008,South
439,LA,40000.0,77,3080000.0,493000.0,1.36,4189000.0,2008,South
440,ME,7000.0,42,294000.0,79000.0,1.57,462000.0,2008,North
441,MI,71000.0,73,5183000.0,2021000.0,1.44,7464000.0,2008,Midwest
442,MN,122000.0,78,9516000.0,2569000.0,1.39,13227000.0,2008,Midwest
443,MS,14000.0,98,1372000.0,110000.0,1.3,1784000.0,2008,Midwest
444,MO,11000.0,53,583000.0,152000.0,1.68,979000.0,2008,Midwest
445,MT,134000.0,70,9380000.0,4596000.0,1.37,12851000.0,2008,West
446,NE,36000.0,67,2412000.0,1254000.0,1.45,3497000.0,2008,Midwest
447,NV,10000.0,29,290000.0,52000.0,1.42,412000.0,2008,West
448,NJ,9000.0,40,360000.0,122000.0,1.62,583000.0,2008,North
449,NM,6000.0,48,288000.0,95000.0,1.48,426000.0,2008,South
450,NY,50000.0,70,3500000.0,1260000.0,1.65,5775000.0,2008,North
451,NC,12000.0,52,624000.0,137000.0,2.18,1360000.0,2008,South
452,ND,400000.0,90,36000000.0,8640000.0,1.36,48960000.0,2008,Midwest
453,OH,14000.0,53,742000.0,371000.0,1.68,1247000.0,2008,Midwest
454,OR,50000.0,43,2150000.0,1097000.0,1.41,3032000.0,2008,North
455,PA,23000.0,48,1104000.0,276000.0,1.65,1822000.0,2008,North
456,SD,225000.0,95,21375000.0,11970000.0,1.34,28643000.0,2008,Midwest
457,TN,7000.0,61,427000.0,149000.0,2.09,892000.0,2008,South
458,TX,77000.0,64,4928000.0,1380000.0,1.34,6604000.0,2008,South
459,UT,28000.0,48,1344000.0,242000.0,1.57,2110000.0,2008,West
460,VT,5000.0,66,330000.0,119000.0,2.2,726000.0,2008,North
461,VA,6000.0,42,252000.0,45000.0,2.42,610000.0,2008,South
462,WA,49000.0,44,2156000.0,862000.0,1.51,3256000.0,2008,West
463,WV,6000.0,43,258000.0,49000.0,2.16,557000.0,2008,South
464,WI,58000.0,80,4640000.0,2366000.0,1.5,6960000.0,2008,Midwest
465,WY,39000.0,61,2379000.0,381000.0,1.37,3259000.0,2008,West
466,AL,9000.0,50,450000.0,68000.0,1.86,837000.0,2009,South
467,AZ,20000.0,52,1040000.0,562000.0,1.45,1508000.0,2009,West
468,AR,24000.0,57,1368000.0,301000.0,1.42,1943000.0,2009,South
469,CA,355000.0,33,11715000.0,2109000.0,1.39,16284000.0,2009,West
470,CO,28000.0,53,1484000.0,326000.0,1.43,2122000.0,2009,West
471,FL,170000.0,68,11560000.0,1618000.0,1.42,16415000.0,2009,South
472,GA,65000.0,41,2665000.0,346000.0,1.47,3918000.0,2009,South
473,HI,10000.0,95,950000.0,323000.0,1.76,1672000.0,2009,West
474,ID,103000.0,46,4738000.0,1706000.0,1.52,7202000.0,2009,West
475,IL,8000.0,34,272000.0,57000.0,2.55,694000.0,2009,Midwest
476,IN,9000.0,32,288000.0,101000.0,2.02,582000.0,2009,Midwest
477,IA,26000.0,42,1092000.0,339000.0,1.6,1747000.0,2009,Midwest
478,KS,9000.0,63,567000.0,164000.0,1.85,1049000.0,2009,Midwest
479,KY,5000.0,35,175000.0,25000.0,2.71,474000.0,2009,South
480,LA,37000.0,103,3811000.0,610000.0,1.36,5183000.0,2009,South
481,ME,6000.0,50,300000.0,51000.0,1.95,585000.0,2009,North
482,MI,66000.0,60,3960000.0,1505000.0,1.55,6138000.0,2009,Midwest
483,MN,122000.0,65,7930000.0,1427000.0,1.44,11419000.0,2009,Midwest
484,MS,14000.0,104,1456000.0,87000.0,1.32,1922000.0,2009,Midwest
485,MO,11000.0,47,517000.0,57000.0,1.99,1029000.0,2009,Midwest
486,MT,146000.0,70,10220000.0,3577000.0,1.46,14921000.0,2009,West
487,NE,48000.0,56,2688000.0,1102000.0,1.46,3924000.0,2009,Midwest
488,NJ,11000.0,32,352000.0,70000.0,2.36,831000.0,2009,North
489,NM,7000.0,60,420000.0,143000.0,1.59,668000.0,2009,South
490,NY,45000.0,65,2925000.0,936000.0,1.93,5645000.0,2009,North
491,NC,11000.0,45,495000.0,84000.0,2.57,1272000.0,2009,South
492,ND,450000.0,77,34650000.0,7623000.0,1.38,47817000.0,2009,Midwest
493,OH,11000.0,50,550000.0,132000.0,2.81,1546000.0,2009,Midwest
494,OR,55000.0,34,1870000.0,767000.0,1.54,2880000.0,2009,North
495,PA,21000.0,40,840000.0,319000.0,2.03,1705000.0,2009,North
496,SD,270000.0,66,17820000.0,6237000.0,1.42,25304000.0,2009,Midwest
497,TN,7000.0,51,357000.0,86000.0,2.37,846000.0,2009,South
498,TX,89000.0,63,5607000.0,1065000.0,1.39,7794000.0,2009,South
499,UT,26000.0,38,988000.0,198000.0,1.46,1442000.0,2009,West
500,VT,5000.0,49,245000.0,69000.0,2.01,492000.0,2009,North
501,VA,6000.0,39,234000.0,56000.0,3.45,807000.0,2009,South
502,WA,62000.0,44,2728000.0,1064000.0,1.58,4310000.0,2009,West
503,WV,5000.0,37,185000.0,33000.0,2.6,481000.0,2009,South
504,WI,63000.0,60,3780000.0,1588000.0,1.58,5972000.0,2009,Midwest
505,WY,37000.0,48,1776000.0,391000.0,1.43,2540000.0,2009,West
506,AL,9000.0,54,486000.0,73000.0,2.4,1166000.0,2010,South
507,AZ,24000.0,77,1848000.0,665000.0,1.52,2809000.0,2010,West
508,AR,25000.0,60,1500000.0,360000.0,1.47,2205000.0,2010,South
509,CA,410000.0,67,27470000.0,6318000.0,1.55,42579000.0,2010,West
510,CO,34000.0,56,1904000.0,533000.0,1.52,2894000.0,2010,West
511,FL,200000.0,69,13800000.0,1794000.0,1.56,21528000.0,2010,South
512,GA,55000.0,46,2530000.0,152000.0,1.67,4225000.0,2010,South
513,HI,10000.0,77,770000.0,239000.0,2.75,2118000.0,2010,West
514,ID,97000.0,27,2619000.0,1179000.0,1.61,4217000.0,2010,West
515,IL,9000.0,41,369000.0,92000.0,2.78,1026000.0,2010,Midwest
516,IN,10000.0,43,430000.0,151000.0,2.23,959000.0,2010,Midwest
517,IA,27000.0,49,1323000.0,463000.0,1.92,2540000.0,2010,Midwest
518,KS,9000.0,52,468000.0,103000.0,2.02,945000.0,2010,Midwest
519,KY,5000.0,67,335000.0,67000.0,2.72,911000.0,2010,South
520,LA,36000.0,80,2880000.0,288000.0,1.5,4320000.0,2010,South
521,ME,5000.0,41,205000.0,33000.0,2.05,420000.0,2010,North
522,MI,71000.0,58,4118000.0,1524000.0,1.67,6877000.0,2010,Midwest
523,MN,128000.0,66,8448000.0,1774000.0,1.55,13094000.0,2010,Midwest
524,MS,16000.0,98,1568000.0,78000.0,1.44,2258000.0,2010,Midwest
525,MO,11000.0,52,572000.0,92000.0,1.8,1030000.0,2010,Midwest
526,MT,157000.0,74,11618000.0,2905000.0,1.58,18356000.0,2010,West
527,NE,41000.0,55,2255000.0,902000.0,1.51,3405000.0,2010,Midwest
528,NJ,13000.0,35,455000.0,73000.0,1.9,865000.0,2010,North
529,NM,7000.0,66,462000.0,157000.0,1.58,730000.0,2010,South
530,NY,45000.0,64,2880000.0,1123000.0,1.96,5645000.0,2010,North
531,NC,13000.0,46,598000.0,144000.0,2.66,1591000.0,2010,South
532,ND,510000.0,91,46410000.0,12995000.0,1.5,69615000.0,2010,Midwest
533,OH,18000.0,62,1116000.0,346000.0,2.28,2544000.0,2010,Midwest
534,OR,59000.0,39,2301000.0,874000.0,1.63,3751000.0,2010,North
535,PA,30000.0,37,1110000.0,377000.0,2.13,2364000.0,2010,North
536,SD,265000.0,58,15370000.0,4765000.0,1.51,23209000.0,2010,Midwest
537,TN,8000.0,63,504000.0,106000.0,2.5,1260000.0,2010,South
538,TX,100000.0,72,7200000.0,792000.0,1.51,10872000.0,2010,South
539,UT,26000.0,30,780000.0,195000.0,1.53,1193000.0,2010,West
540,VT,4000.0,65,260000.0,73000.0,3.1,806000.0,2010,North
541,VA,5000.0,37,185000.0,37000.0,3.32,614000.0,2010,South
542,WA,71000.0,37,2627000.0,1077000.0,1.57,4124000.0,2010,West
543,WV,5000.0,40,200000.0,40000.0,2.39,478000.0,2010,South
544,WI,64000.0,64,4096000.0,1556000.0,1.68,6881000.0,2010,Midwest
545,WY,34000.0,36,1224000.0,282000.0,1.59,1946000.0,2010,West
546,AL,9000.0,50,450000.0,63000.0,2.51,1130000.0,2011,South
547,AZ,23000.0,53,1219000.0,427000.0,1.55,1889000.0,2011,West
548,AR,22000.0,64,1408000.0,239000.0,1.62,2281000.0,2011,South
549,CA,370000.0,48,17760000.0,3730000.0,1.65,29304000.0,2011,West
550,CO,31000.0,55,1705000.0,443000.0,2.0,3410000.0,2011,West
551,FL,180000.0,61,10980000.0,988000.0,1.68,18446000.0,2011,South
552,GA,65000.0,43,2795000.0,196000.0,1.65,4612000.0,2011,South
553,HI,9000.0,74,666000.0,246000.0,3.65,2431000.0,2011,West
554,ID,87000.0,36,3132000.0,1879000.0,1.78,5575000.0,2011,West
555,IL,7000.0,50,350000.0,98000.0,3.9,1365000.0,2011,Midwest
556,IN,8000.0,51,408000.0,147000.0,2.14,873000.0,2011,Midwest
557,IA,25000.0,62,1550000.0,961000.0,1.96,3038000.0,2011,Midwest
558,KS,7000.0,44,308000.0,117000.0,2.15,662000.0,2011,Midwest
559,KY,4000.0,39,156000.0,12000.0,3.17,495000.0,2011,South
560,LA,36000.0,77,2772000.0,471000.0,1.67,4629000.0,2011,South
561,ME,4000.0,30,120000.0,17000.0,1.98,238000.0,2011,North
562,MI,74000.0,64,4736000.0,2084000.0,1.81,8572000.0,2011,Midwest
563,MN,120000.0,53,6360000.0,2099000.0,1.63,10367000.0,2011,Midwest
564,MS,18000.0,115,2070000.0,104000.0,1.53,3167000.0,2011,Midwest
565,MO,8000.0,43,344000.0,76000.0,2.14,736000.0,2011,Midwest
566,MT,145000.0,92,13340000.0,3202000.0,1.7,22678000.0,2011,West
567,NE,41000.0,59,2419000.0,653000.0,1.75,4233000.0,2011,Midwest
568,NJ,11000.0,41,451000.0,135000.0,3.7,1669000.0,2011,North
569,NM,7000.0,56,392000.0,153000.0,1.69,662000.0,2011,South
570,NY,49000.0,56,2744000.0,1235000.0,1.96,5378000.0,2011,North
571,NC,14000.0,62,868000.0,95000.0,2.83,2456000.0,2011,South
572,ND,460000.0,71,32660000.0,7512000.0,1.67,54542000.0,2011,Midwest
573,OH,15000.0,66,990000.0,228000.0,2.34,2317000.0,2011,Midwest
574,OR,60000.0,34,2040000.0,755000.0,1.68,3427000.0,2011,North
575,PA,24000.0,44,1056000.0,306000.0,2.55,2693000.0,2011,North
576,SD,250000.0,66,16500000.0,4290000.0,1.7,28050000.0,2011,Midwest
577,TN,7000.0,44,308000.0,68000.0,2.93,902000.0,2011,South
578,TX,78000.0,58,4524000.0,633000.0,1.78,8053000.0,2011,South
579,UT,23000.0,39,897000.0,170000.0,1.75,1570000.0,2011,West
580,VT,4000.0,43,172000.0,43000.0,2.31,397000.0,2011,North
581,VA,4000.0,40,160000.0,21000.0,4.07,651000.0,2011,South
582,WA,71000.0,38,2698000.0,836000.0,1.93,5207000.0,2011,West
583,WV,4000.0,53,212000.0,45000.0,2.57,545000.0,2011,South
584,WI,57000.0,63,3591000.0,1508000.0,1.89,6787000.0,2011,Midwest
585,WY,35000.0,54,1890000.0,265000.0,1.72,3251000.0,2011,West
586,AL,8000.0,54,432000.0,65000.0,2.47,1067000.0,2012,South
587,AZ,22000.0,46,1012000.0,253000.0,1.79,1811000.0,2012,West
588,AR,25000.0,63,1575000.0,189000.0,1.98,3119000.0,2012,South
589,CA,330000.0,35,11550000.0,3119000.0,1.94,22407000.0,2012,West
590,CO,25000.0,48,1200000.0,468000.0,2.07,2484000.0,2012,West
591,FL,193000.0,64,12352000.0,1235000.0,1.84,22728000.0,2012,South
592,GA,59000.0,51,3009000.0,181000.0,1.92,5777000.0,2012,South
593,HI,10000.0,75,750000.0,263000.0,4.15,3113000.0,2012,West
594,ID,92000.0,32,2944000.0,530000.0,1.63,4799000.0,2012,West
595,IL,7000.0,61,427000.0,145000.0,3.55,1516000.0,2012,Midwest
596,IN,8000.0,59,472000.0,203000.0,2.54,1199000.0,2012,Midwest
597,IA,37000.0,61,2257000.0,1196000.0,2.17,4898000.0,2012,Midwest
598,KS,6000.0,55,330000.0,125000.0,2.28,752000.0,2012,Midwest
599,KY,5000.0,51,255000.0,41000.0,3.15,803000.0,2012,South
600,LA,41000.0,86,3526000.0,141000.0,1.83,6453000.0,2012,South
601,ME,4000.0,34,136000.0,24000.0,2.39,325000.0,2012,North
602,MI,73000.0,57,4161000.0,1332000.0,2.03,8447000.0,2012,Midwest
603,MN,125000.0,67,8375000.0,1591000.0,1.92,16080000.0,2012,Midwest
604,MS,18000.0,118,2124000.0,64000.0,1.77,3759000.0,2012,Midwest
605,MO,7000.0,53,371000.0,108000.0,2.8,1039000.0,2012,Midwest
606,MT,145000.0,52,7540000.0,2413000.0,1.95,14703000.0,2012,West
607,NE,43000.0,65,2795000.0,1146000.0,1.93,5394000.0,2012,Midwest
608,NJ,14000.0,33,462000.0,51000.0,1.97,910000.0,2012,North
609,NM,5000.0,52,260000.0,99000.0,3.39,881000.0,2012,South
610,NY,51000.0,51,2601000.0,988000.0,2.23,5800000.0,2012,North
611,NC,13000.0,39,507000.0,106000.0,3.76,1906000.0,2012,South
612,ND,480000.0,69,33120000.0,5962000.0,1.92,63590000.0,2012,Midwest
613,OH,18000.0,60,1080000.0,410000.0,2.46,2657000.0,2012,Midwest
614,OR,60000.0,32,1920000.0,845000.0,2.16,4147000.0,2012,North
615,PA,16000.0,60,960000.0,269000.0,2.57,2467000.0,2012,North
616,SD,260000.0,63,16380000.0,3604000.0,1.95,31941000.0,2012,Midwest
617,TN,6000.0,61,366000.0,59000.0,2.93,1072000.0,2012,South
618,TX,92000.0,52,4784000.0,718000.0,2.0,9568000.0,2012,South
619,UT,25000.0,38,950000.0,209000.0,1.87,1777000.0,2012,West
620,VT,4000.0,60,240000.0,53000.0,2.39,574000.0,2012,North
621,VA,4000.0,41,164000.0,23000.0,3.77,618000.0,2012,South
622,WA,62000.0,41,2542000.0,1017000.0,2.38,6050000.0,2012,West
623,WV,6000.0,48,288000.0,95000.0,2.91,838000.0,2012,South
624,WI,60000.0,69,4140000.0,1863000.0,2.05,8487000.0,2012,Midwest
625,WY,50000.0,51,2550000.0,459000.0,1.87,4769000.0,2012,West
